"Timestamp","Zodiac","Profession"
"2026/01/23 11:49:58 am CET","Aquarius","Teacher"
"2026/01/23 11:50:00 am CET","Cancer","Teacher"
"2026/01/23 11:50:01 am CET","Libra","Lawyer"
"2026/01/23 11:50:01 am CET","Virgo","Teacher"
"2026/01/23 11:50:02 am CET","Sagittarius","Businessperson"
"2026/01/23 11:50:13 am CET","Aries","Teacher"
"2026/01/23 11:50:14 am CET","Sagittarius","Teacher"
"2026/01/23 11:50:16 am CET","Leo","Teacher"
"2026/01/23 11:50:20 am CET","Capricorn","Businessperson"
"2026/01/23 11:50:24 am CET","Cancer","Politician"
"2026/01/23 11:50:24 am CET","Pisces","Teacher"
"2026/01/23 11:50:31 am CET","Aries","Lawyer"
"2026/01/23 11:50:34 am CET","Capricorn","Teacher"
"2026/01/23 11:51:04 am CET","Aquarius","Businessperson"
"2026/01/23 11:51:11 am CET","Capricorn","Teacher"
"2026/01/23 11:51:13 am CET","Aries","Lawyer"
"2026/01/23 11:51:23 am CET","Gemini","Teacher"
"2026/01/23 11:51:27 am CET","Gemini","Businessperson"
"2026/01/23 11:51:32 am CET","Aquarius","Lawyer"